Id;X;Y
273;3.625191397122174e-01;7.678546036505490e-02
274;1.661503637429416e+00;9.337813472145449e-01
275;1.725484565055253e+00;3.938451931287909e-01
276;5.024029442563831e-01;1.264128223758444e-01
277;4.375000000000000e-01;0.000000000000000e+00
278;4.699946908887376e-01;6.379961173775725e-02
279;1.295794501001759e+00;6.382179565110603e-01
280;9.375000000000000e-01;6.562500000000000e-01
281;1.187935791987551e+00;3.428784160248982e-01
282;1.937500000000000e+00;7.187500000000000e-01
283;1.927210589804446e+00;6.356711796088930e-01
284;1.000000000000000e+00;9.375000000000000e-01
285;1.937500000000000e+00;1.000000000000000e+00
286;6.690971819568612e-01;9.331530898202766e-01
287;1.073454944778885e-01;7.499206387638554e-01
288;1.869908299928041e+00;2.232403652524313e-01
289;8.699082999280406e-01;2.232403652524313e-01
290;5.773118091863964e-01;3.548027349159383e-01
291;1.124255952380952e+00;1.540178571428572e-01
292;1.354166666666667e-01;1.428571428571428e-01
293;1.444231115397167e+00;8.655310132247820e-01
294;3.125000000000000e-01;0.000000000000000e+00
295;8.219626126022654e-01;8.811623873977346e-01
296;1.472298177890189e+00;7.028960309771642e-01
297;1.073000686901059e+00;4.508962878145378e-01
298;4.352314948354036e-01;3.586940847489378e-01
299;1.345311416228675e+00;2.049337338368349e-01
300;7.108964460258994e-01;6.019181503577284e-02
301;4.662209565718441e-01;5.655260657675830e-01
302;8.125000000000000e-01;0.000000000000000e+00
303;8.073232928518163e-01;3.419398170341962e-01
304;1.555597698271026e+00;8.101352375107331e-01
305;7.413513991851041e-01;4.579333249544830e-01
306;1.000000000000000e+00;1.875000000000000e-01
307;1.939453125000000e+00;8.417968750000000e-01
308;9.394531250000000e-01;8.417968750000000e-01
309;1.062500000000000e+00;2.812500000000000e-01
310;8.437500000000000e-01;6.285729472132061e-02
311;4.181517292692987e-01;6.156641569613565e-01
312;5.630355154606987e-01;8.171875156478349e-01
313;1.544910571268023e+00;1.284723922820357e-01
314;1.160232318469032e+00;6.291064228132179e-01
315;9.345238095238095e-01;3.719529478458050e-01
316;1.934523809523810e+00;3.461466592368577e-01
317;1.312500000000000e+00;0.000000000000000e+00
318;1.937500000000000e+00;0.000000000000000e+00
319;2.000000000000000e+00;6.250000000000000e-02
320;9.375000000000000e-01;0.000000000000000e+00
321;1.000000000000000e+00;6.250000000000000e-02
322;1.062500000000000e+00;1.000000000000000e+00
323;0.000000000000000e+00;9.375000000000000e-01
324;6.250000000000000e-02;1.000000000000000e+00
325;8.487751999520228e-01;9.404500285645747e-01
326;6.552178593177167e-02;4.969053669623468e-01
327;1.394555931117000e+00;8.070827964114521e-01
328;1.526712510315665e+00;9.388646348414533e-01
329;1.424866619031703e-01;4.130277709291224e-01
330;1.275287182444726e-01;5.422946908002588e-01
331;2.637686595586339e-01;6.413888464529549e-02
332;2.524263535491086e-01;1.697437503243817e-01
333;1.643447734395858e+00;3.065338030139375e-01
334;9.308035714285714e-01;7.209821428571429e-01
335;1.728077724561765e+00;6.855663157422835e-01
336;1.058218384659253e+00;1.562500000000000e-01
337;7.367218397988525e-01;6.888573970660841e-01
338;1.263278160201147e+00;3.111426029339160e-01
339;1.087313413520142e+00;6.697013256089601e-01
340;1.062500000000000e+00;0.000000000000000e+00
341;6.250000000000000e-02;0.000000000000000e+00
342;0.000000000000000e+00;6.250000000000000e-02
343;1.846319605506163e+00;7.577088165184900e-01
344;1.153640546071401e+00;2.421716382142018e-01
345;8.463594539285995e-01;7.578283617857982e-01
346;3.128751192101563e-01;2.851997374369947e-01
